,Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
0,,Afghanistan,2021-06-11,641295,482952.0,158343.0,2021/06/11,4.0
1,,Albania,2021-06-11,823053,498437.0,324616.0,2021/06/11,8.0
2,,Algeria,2021-06-11,2500000,2500000.0,0.0,2021/06/11,12.0
3,,Andorra,2021-06-11,41481,30535.0,10938.0,2021/06/11,20.0
4,,Angola,2021-06-11,1222630,774926.0,447704.0,2021/06/11,24.0
5,,Antigua and Barbuda,2021-06-11,57264,34368.0,22896.0,2021/06/11,28.0
6,,Argentina,2021-06-11,15730223,12202881.0,3150527.0,2021/06/11,32.0
7,Autonomous City of Buenos Aires,Argentina,2021-06-11,1443012,,,2021/06/11,3201.0
8,Buenos Aires,Argentina,2021-06-11,5886690,,,2021/06/11,3202.0
9,Catamarca,Argentina,2021-06-11,143471,,,2021/06/11,3203.0
10,Chaco,Argentina,2021-06-11,386721,,,2021/06/11,3204.0
11,Chubut,Argentina,2021-06-11,193984,,,2021/06/11,3205.0
12,Cordoba,Argentina,2021-06-11,1319914,,,2021/06/11,3207.0
13,Corrientes,Argentina,2021-06-11,360876,,,2021/06/11,3206.0
14,Entre Rios,Argentina,2021-06-11,449915,,,2021/06/11,3208.0
15,Formosa,Argentina,2021-06-11,191848,,,2021/06/11,3209.0
16,Jujuy,Argentina,2021-06-11,299979,,,2021/06/11,3210.0
17,La Pampa,Argentina,2021-06-11,152663,,,2021/06/11,3211.0
18,La Rioja,Argentina,2021-06-11,146245,,,2021/06/11,3212.0
19,Mendoza,Argentina,2021-06-11,676792,,,2021/06/11,3213.0
20,Misiones,Argentina,2021-06-11,346242,,,2021/06/11,3214.0
21,Neuquen,Argentina,2021-06-11,234552,,,2021/06/11,3215.0
22,Rio Negro,Argentina,2021-06-11,275861,,,2021/06/11,3216.0
23,Salta,Argentina,2021-06-11,473911,,,2021/06/11,3217.0
24,San Juan,Argentina,2021-06-11,256125,,,2021/06/11,3218.0
25,San Luis,Argentina,2021-06-11,207095,,,2021/06/11,3219.0
26,Santa Cruz,Argentina,2021-06-11,125936,,,2021/06/11,3220.0
27,Santa Fe,Argentina,2021-06-11,1170901,,,2021/06/11,3221.0
28,Santiago del Estero,Argentina,2021-06-11,327881,,,2021/06/11,3222.0
29,Tierra del Fuego,Argentina,2021-06-11,65742,,,2021/06/11,3223.0
30,Tucuman,Argentina,2021-06-11,593867,,,2021/06/11,3224.0
31,,Armenia,2021-06-11,33529,33529.0,0.0,2021/06/11,51.0
32,,Australia,2021-06-11,5487670,4831188.0,656482.0,2021/06/11,36.0
33,,Austria,2021-06-11,6043642,4103875.0,2011639.0,2021/06/11,40.0
34,,Azerbaijan,2021-06-11,2662038,1712118.0,949920.0,2021/06/11,31.0
35,,Bahamas,2021-06-11,62183,48434.0,13749.0,2021/06/11,44.0
36,,Bahrain,2021-06-11,1869888,1017757.0,852131.0,2021/06/11,48.0
37,,Bangladesh,2021-06-11,10046528,5823245.0,4223283.0,2021/06/11,50.0
38,Barisal,Bangladesh,2021-06-11,429802,,,2021/06/11,5001.0
39,Chittagong,Bangladesh,2021-06-11,2044765,,,2021/06/11,5002.0
40,Dhaka,Bangladesh,2021-06-11,3290556,,,2021/06/11,5003.0
41,Khulna,Bangladesh,2021-06-11,1219428,,,2021/06/11,5004.0
42,Mymensingh,Bangladesh,2021-06-11,478712,,,2021/06/11,5005.0
43,Rajshahi,Bangladesh,2021-06-11,1077128,,,2021/06/11,5006.0
44,Rangpur,Bangladesh,2021-06-11,984363,,,2021/06/11,5007.0
45,Sylhet,Bangladesh,2021-06-11,521774,,,2021/06/11,5008.0
46,Unassigned,Bangladesh,2021-06-11,0,,,2021/06/11,5009.0
47,,Barbados,2021-06-11,147036,85175.0,61861.0,2021/06/11,52.0
48,,Belarus,2021-06-11,924926,610988.0,313938.0,2021/06/11,112.0
49,,Belgium,2021-06-11,8175324,5363356.0,2761505.0,2021/06/11,56.0
50,,Belize,2021-06-11,80121,67851.0,12270.0,2021/06/11,84.0
51,,Bhutan,2021-06-11,483699,482716.0,0.0,2021/06/11,64.0
52,,Bolivia,2021-06-11,1940095,1490937.0,449158.0,2021/06/11,68.0
53,,Bosnia and Herzegovina,2021-06-11,232706,188848.0,43858.0,2021/06/11,70.0
54,,Botswana,2021-06-11,146725,71500.0,0.0,2021/06/11,72.0
55,,Brazil,2021-06-11,71569479,52429219.0,23460878.0,2021/06/11,76.0
56,Acre,Brazil,2021-06-11,216492,,,2021/06/11,7601.0
57,Alagoas,Brazil,2021-06-11,1100286,,,2021/06/11,7602.0
58,Amapa,Brazil,2021-06-11,204755,,,2021/06/11,7603.0
59,Amazonas,Brazil,2021-06-11,1189783,,,2021/06/11,7604.0
60,Bahia,Brazil,2021-06-11,4839376,,,2021/06/11,7605.0
61,Ceara,Brazil,2021-06-11,2395992,,,2021/06/11,7606.0
62,Distrito Federal,Brazil,2021-06-11,972512,,,2021/06/11,7607.0
63,Espirito Santo,Brazil,2021-06-11,1636367,,,2021/06/11,7608.0
64,Goias,Brazil,2021-06-11,2337907,,,2021/06/11,7609.0
65,Maranhao,Brazil,2021-06-11,2120861,,,2021/06/11,7610.0
66,Mato Grosso,Brazil,2021-06-11,1000056,,,2021/06/11,7611.0
67,Mato Grosso do Sul,Brazil,2021-06-11,1241327,,,2021/06/11,7612.0
