,Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
0,,Afghanistan,2021-06-13,641295,482952.0,158343.0,2021/06/13,4.0
1,,Albania,2021-06-13,823053,498437.0,324616.0,2021/06/13,8.0
2,,Algeria,2021-06-13,2500000,2500000.0,0.0,2021/06/13,12.0
3,,Andorra,2021-06-13,41481,30535.0,10938.0,2021/06/13,20.0
4,,Angola,2021-06-13,1222630,774926.0,447704.0,2021/06/13,24.0
5,,Antigua and Barbuda,2021-06-13,58074,34644.0,23430.0,2021/06/13,28.0
6,,Argentina,2021-06-13,16102741,12555442.0,3174781.0,2021/06/13,32.0
7,Autonomous City of Buenos Aires,Argentina,2021-06-13,1471900,,,2021/06/13,3201.0
8,Buenos Aires,Argentina,2021-06-13,5999341,,,2021/06/13,3202.0
9,Catamarca,Argentina,2021-06-13,147451,,,2021/06/13,3203.0
10,Chaco,Argentina,2021-06-13,394628,,,2021/06/13,3204.0
11,Chubut,Argentina,2021-06-13,198478,,,2021/06/13,3205.0
12,Cordoba,Argentina,2021-06-13,1353482,,,2021/06/13,3207.0
13,Corrientes,Argentina,2021-06-13,369303,,,2021/06/13,3206.0
14,Entre Rios,Argentina,2021-06-13,459767,,,2021/06/13,3208.0
15,Formosa,Argentina,2021-06-13,198148,,,2021/06/13,3209.0
16,Jujuy,Argentina,2021-06-13,306302,,,2021/06/13,3210.0
17,La Pampa,Argentina,2021-06-13,155874,,,2021/06/13,3211.0
18,La Rioja,Argentina,2021-06-13,148628,,,2021/06/13,3212.0
19,Mendoza,Argentina,2021-06-13,691943,,,2021/06/13,3213.0
20,Misiones,Argentina,2021-06-13,351661,,,2021/06/13,3214.0
21,Neuquen,Argentina,2021-06-13,239566,,,2021/06/13,3215.0
22,Rio Negro,Argentina,2021-06-13,280201,,,2021/06/13,3216.0
23,Salta,Argentina,2021-06-13,483932,,,2021/06/13,3217.0
24,San Juan,Argentina,2021-06-13,262997,,,2021/06/13,3218.0
25,San Luis,Argentina,2021-06-13,213069,,,2021/06/13,3219.0
26,Santa Cruz,Argentina,2021-06-13,128818,,,2021/06/13,3220.0
27,Santa Fe,Argentina,2021-06-13,1228797,,,2021/06/13,3221.0
28,Santiago del Estero,Argentina,2021-06-13,341540,,,2021/06/13,3222.0
29,Tierra del Fuego,Argentina,2021-06-13,67384,,,2021/06/13,3223.0
30,Tucuman,Argentina,2021-06-13,609531,,,2021/06/13,3224.0
31,,Armenia,2021-06-13,46503,46503.0,0.0,2021/06/13,51.0
32,,Australia,2021-06-13,5641008,4972011.0,668997.0,2021/06/13,36.0
33,,Austria,2021-06-13,6171867,4103875.0,2011639.0,2021/06/13,40.0
34,,Azerbaijan,2021-06-13,2702023,1748035.0,953988.0,2021/06/13,31.0
35,,Bahamas,2021-06-13,62183,48434.0,13749.0,2021/06/13,44.0
36,,Bahrain,2021-06-13,1876554,1020656.0,855898.0,2021/06/13,48.0
37,,Bangladesh,2021-06-13,10058643,5823245.0,4235398.0,2021/06/13,50.0
38,Barisal,Bangladesh,2021-06-13,430055,,,2021/06/13,5001.0
39,Chittagong,Bangladesh,2021-06-13,2049965,,,2021/06/13,5002.0
40,Dhaka,Bangladesh,2021-06-13,3295532,,,2021/06/13,5003.0
41,Khulna,Bangladesh,2021-06-13,1219895,,,2021/06/13,5004.0
42,Mymensingh,Bangladesh,2021-06-13,478802,,,2021/06/13,5005.0
43,Rajshahi,Bangladesh,2021-06-13,1077907,,,2021/06/13,5006.0
44,Rangpur,Bangladesh,2021-06-13,984593,,,2021/06/13,5007.0
45,Sylhet,Bangladesh,2021-06-13,521894,,,2021/06/13,5008.0
46,Unassigned,Bangladesh,2021-06-13,0,,,2021/06/13,5009.0
47,,Barbados,2021-06-13,147036,85175.0,61861.0,2021/06/13,52.0
48,,Belarus,2021-06-13,924926,610988.0,313938.0,2021/06/13,112.0
49,,Belgium,2021-06-13,8367977,5441054.0,2864013.0,2021/06/13,56.0
50,,Belize,2021-06-13,80121,67851.0,12270.0,2021/06/13,84.0
51,,Bhutan,2021-06-13,483699,482716.0,0.0,2021/06/13,64.0
52,,Bolivia,2021-06-13,1940095,1490937.0,449158.0,2021/06/13,68.0
53,,Bosnia and Herzegovina,2021-06-13,232706,188848.0,43858.0,2021/06/13,70.0
54,,Botswana,2021-06-13,150019,150019.0,0.0,2021/06/13,72.0
55,,Brazil,2021-06-13,73055507,53224020.0,23534567.0,2021/06/13,76.0
56,Acre,Brazil,2021-06-13,221479,,,2021/06/13,7601.0
57,Alagoas,Brazil,2021-06-13,1121554,,,2021/06/13,7602.0
58,Amapa,Brazil,2021-06-13,208352,,,2021/06/13,7603.0
59,Amazonas,Brazil,2021-06-13,1206884,,,2021/06/13,7604.0
60,Bahia,Brazil,2021-06-13,4915427,,,2021/06/13,7605.0
61,Ceara,Brazil,2021-06-13,2412582,,,2021/06/13,7606.0
62,Distrito Federal,Brazil,2021-06-13,985157,,,2021/06/13,7607.0
63,Espirito Santo,Brazil,2021-06-13,1680906,,,2021/06/13,7608.0
64,Goias,Brazil,2021-06-13,2391014,,,2021/06/13,7609.0
65,Maranhao,Brazil,2021-06-13,2191534,,,2021/06/13,7610.0
66,Mato Grosso,Brazil,2021-06-13,1025389,,,2021/06/13,7611.0
67,Mato Grosso do Sul,Brazil,2021-06-13,1263466,,,2021/06/13,7612.0
68,Minas Gerais,Brazil,2021-06-13,7252028,,,2021/06/13,7613.0
69,Para,Brazil,2021-06-13,2029953,,,2021/06/13,7614.0
70,Paraiba,Brazil,2021-06-13,1439926,,,2021/06/13,7615.0
71,Parana,Brazil,2021-06-13,4438340,,,2021/06/13,7616.0
72,Pernambuco,Brazil,2021-06-13,2915470,,,2021/06/13,7617.0
73,Piaui,Brazil,2021-06-13,1045794,,,2021/06/13,7618.0
74,Rio Grande do Norte,Brazil,2021-06-13,1214389,,,2021/06/13,7620.0
75,Rio Grande do Sul,Brazil,2021-06-13,5340951,,,2021/06/13,7621.0
76,Rio de Janeiro,Brazil,2021-06-13,6394207,,,2021/06/13,7619.0
77,Rondonia,Brazil,2021-06-13,481267,,,2021/06/13,7622.0
78,Roraima,Brazil,2021-06-13,160854,,,2021/06/13,7623.0
79,Santa Catarina,Brazil,2021-06-13,2491582,,,2021/06/13,7624.0
80,Sao Paulo,Brazil,2021-06-13,17136992,,,2021/06/13,7625.0
81,Sergipe,Brazil,2021-06-13,639824,,,2021/06/13,7626.0
82,Tocantins,Brazil,2021-06-13,450186,,,2021/06/13,7627.0
83,,Brunei,2021-06-13,61225,49763.0,11462.0,2021/06/13,96.0
84,,Bulgaria,2021-06-13,1573761,874457.0,694336.0,2021/06/13,100.0
85,,Burma,2021-06-13,2994900,1772177.0,1222723.0,2021/06/13,104.0
86,,Cambodia,2021-06-13,5128310,2794894.0,2333416.0,2021/06/13,116.0
87,,Cameroon,2021-06-13,86451,70257.0,16194.0,2021/06/13,120.0
88,,Canada,2021-06-13,28644442,24195150.0,4045324.0,2021/06/13,124.0
89,Alberta,Canada,2021-06-13,3336850,,,2021/06/13,12401.0
90,British Columbia,Canada,2021-06-13,3893581,,,2021/06/13,12402.0
91,Manitoba,Canada,2021-06-13,1022395,,,2021/06/13,12403.0
92,New Brunswick,Canada,2021-06-13,583855,,,2021/06/13,12404.0
93,Newfoundland and Labrador,Canada,2021-06-13,363252,,,2021/06/13,12405.0
94,Northwest Territories,Canada,2021-06-13,55078,,,2021/06/13,12406.0
95,Nova Scotia,Canada,2021-06-13,678615,,,2021/06/13,12407.0
96,Nunavut,Canada,2021-06-13,33592,,,2021/06/13,12416.0
97,Ontario,Canada,2021-06-13,11022452,,,2021/06/13,12408.0
98,Prince Edward Island,Canada,2021-06-13,111616,,,2021/06/13,12409.0
99,Quebec,Canada,2021-06-13,6609006,,,2021/06/13,12410.0
100,Saskatchewan,Canada,2021-06-13,878665,,,2021/06/13,12411.0
101,Yukon,Canada,2021-06-13,55485,,,2021/06/13,12412.0
102,,Chile,2021-06-13,20403835,11526443.0,8892643.0,2021/06/13,152.0
103,,China,2021-06-13,863513000,0.0,0.0,2021/06/13,156.0
104,Hong Kong,China,2021-06-13,2891688,,,2021/06/13,344.0
105,Macau,China,2021-06-13,237236,,,2021/06/13,446.0
106,,Colombia,2021-06-13,12711342,8612065.0,3594039.0,2021/06/13,170.0
107,Amazonas,Colombia,2021-06-13,61337,,,2021/06/13,17001.0
108,Antioquia,Colombia,2021-06-13,1933821,,,2021/06/13,17002.0
109,Arauca,Colombia,2021-06-13,48255,,,2021/06/13,17003.0
110,Atlantico,Colombia,2021-06-13,675974,,,2021/06/13,17004.0
111,Bolivar,Colombia,2021-06-13,522212,,,2021/06/13,17005.0
112,Boyaca,Colombia,2021-06-13,392649,,,2021/06/13,17006.0
113,Caldas,Colombia,2021-06-13,300581,,,2021/06/13,17007.0
114,Capital District,Colombia,2021-06-13,2469955,,,2021/06/13,17008.0
115,Caqueta,Colombia,2021-06-13,69480,,,2021/06/13,17009.0
116,Casanare,Colombia,2021-06-13,84800,,,2021/06/13,17010.0
117,Cauca,Colombia,2021-06-13,203233,,,2021/06/13,17011.0
118,Cesar,Colombia,2021-06-13,213982,,,2021/06/13,17012.0
119,Choco,Colombia,2021-06-13,52767,,,2021/06/13,17013.0
120,Cordoba,Colombia,2021-06-13,334003,,,2021/06/13,17014.0
121,Cundinamarca,Colombia,2021-06-13,757291,,,2021/06/13,17015.0
122,Guainia,Colombia,2021-06-13,20181,,,2021/06/13,17016.0
123,Guaviare,Colombia,2021-06-13,12355,,,2021/06/13,17017.0
124,Huila,Colombia,2021-06-13,242529,,,2021/06/13,17018.0
125,La Guajira,Colombia,2021-06-13,119306,,,2021/06/13,17019.0
126,Magdalena,Colombia,2021-06-13,264703,,,2021/06/13,17020.0
127,Meta,Colombia,2021-06-13,207065,,,2021/06/13,17021.0
128,Narino,Colombia,2021-06-13,347942,,,2021/06/13,17022.0
129,Norte de Santander,Colombia,2021-06-13,348734,,,2021/06/13,17023.0
130,Putumayo,Colombia,2021-06-13,43956,,,2021/06/13,17024.0
131,Quindio,Colombia,2021-06-13,190231,,,2021/06/13,17025.0
132,Risaralda,Colombia,2021-06-13,304268,,,2021/06/13,17026.0
133,San Andres y Providencia,Colombia,2021-06-13,20611,,,2021/06/13,17027.0
134,Santander,Colombia,2021-06-13,662938,,,2021/06/13,17028.0
135,Sucre,Colombia,2021-06-13,200588,,,2021/06/13,17029.0
136,Tolima,Colombia,2021-06-13,384530,,,2021/06/13,17030.0
