,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Confirmed_shift,Newly Confirmed,Deaths_Shift,Newly Deaths
0,,,,Taiwan*,2021-05-15 04:20:58,23.7,121.0,1290,12,1107.0,171.0,Taiwan*,5.4163504504703095,0.9302325581395348,,,,
1,,,,Taiwan*,2021-05-16 04:20:49,23.7,121.0,1475,12,1116.0,347.0,Taiwan*,6.193113887165665,0.8135593220338984,1290.0,185.0,12.0,0.0
2,,,,Taiwan*,2021-05-17 04:20:34,23.7,121.0,1682,12,1116.0,554.0,Taiwan*,7.062249192008574,0.713436385255648,1475.0,207.0,12.0,0.0
3,,,,Taiwan*,2021-05-18 04:20:33,23.7,121.0,2017,12,1123.0,882.0,Taiwan*,8.468820820619081,0.5949429846306395,1682.0,335.0,12.0,0.0
4,,,,Taiwan*,2021-05-19 04:20:42,23.7,121.0,2260,14,1127.0,1119.0,Taiwan*,9.489110091521626,0.6194690265486725,2017.0,243.0,12.0,2.0
5,,,,Taiwan*,2021-05-20 04:21:05,23.7,121.0,2533,14,1133.0,1386.0,Taiwan*,10.635361000807205,0.5527043031977892,2260.0,273.0,14.0,0.0
6,,,,Taiwan*,2021-05-21 04:20:43,23.7,121.0,2825,15,1133.0,1677.0,Taiwan*,11.861387614402034,0.5309734513274337,2533.0,292.0,14.0,1.0
7,,,,Taiwan*,2021-05-22 04:20:45,23.7,121.0,3139,15,1133.0,1991.0,Taiwan*,13.17978609614442,0.4778591908251035,2825.0,314.0,15.0,0.0
8,,,,Taiwan*,2021-05-23 04:20:51,23.7,121.0,3862,17,1133.0,2712.0,Taiwan*,16.215461581175457,0.4401864319005696,3139.0,723.0,15.0,2.0
9,,,,Taiwan*,2021-05-24 04:20:53,23.7,121.0,4322,23,1133.0,3166.0,Taiwan*,18.146873369715248,0.5321610365571494,3862.0,460.0,17.0,6.0
10,,,,Taiwan*,2021-05-25 04:21:08,23.7,121.0,4917,29,1133.0,3755.0,Taiwan*,20.645112530978693,0.5897905226764287,4322.0,595.0,23.0,6.0
11,,,,Taiwan*,2021-05-26 04:20:35,23.7,121.0,5456,35,1133.0,4288.0,Taiwan*,22.908223300593804,0.6414956011730205,4917.0,539.0,29.0,6.0
12,,,,Taiwan*,2021-05-27 04:20:59,23.7,121.0,6091,46,1133.0,4912.0,Taiwan*,25.574411313034616,0.7552126087670333,5456.0,635.0,35.0,11.0
13,,,,Taiwan*,2021-05-28 04:20:36,23.7,121.0,6761,59,1133.0,5569.0,Taiwan*,28.387554570255627,0.8726519745599763,6091.0,670.0,46.0,13.0
14,,,,Taiwan*,2021-05-29 04:20:41,23.7,121.0,7315,78,1133.0,6104.0,Taiwan*,30.71364615906225,1.066302118933698,6761.0,554.0,59.0,19.0
15,,,,Taiwan*,2021-05-30 04:20:55,23.7,121.0,7806,99,1133.0,6574.0,Taiwan*,32.775218307264524,1.2682551883166795,7315.0,491.0,78.0,21.0
16,,,,Taiwan*,2021-05-31 03:08:59,23.7,121.0,8160,109,1133.0,6918.0,Taiwan*,34.26156564018428,1.33578431372549,7806.0,354.0,99.0,10.0
17,,,,Taiwan*,2021-06-01 04:23:09,23.7,121.0,8511,124,1133.0,7254.0,Taiwan*,35.73531680926574,1.4569380801315943,8160.0,351.0,109.0,15.0
18,,,,Taiwan*,2021-06-02 04:24:34,23.7,121.0,8842,137,1133.0,7572.0,Taiwan*,37.12509355275851,1.549423207419136,8511.0,331.0,124.0,13.0
19,,,,Taiwan*,2021-06-03 04:23:32,23.7,121.0,9389,149,1133.0,8107.0,Taiwan*,39.4217940926091,1.586963467887954,8842.0,547.0,137.0,12.0
20,,,,Taiwan*,2021-06-04 04:23:37,23.7,121.0,9974,166,1133.0,8675.0,Taiwan*,41.878046041078186,1.6643272508522158,9389.0,585.0,149.0,17.0
21,,,,Taiwan*,2021-06-05 04:23:03,23.7,121.0,10446,187,1133.0,9126.0,Taiwan*,43.8598424849712,1.7901589125023931,9974.0,472.0,166.0,21.0
22,,,,Taiwan*,2021-06-06 04:24:03,23.7,121.0,10956,224,1133.0,9599.0,Taiwan*,46.00119033748272,2.0445418035779483,10446.0,510.0,187.0,37.0
23,,,,Taiwan*,2021-06-07 04:22:51,23.7,121.0,11298,260,1133.0,9905.0,Taiwan*,47.43715301504928,2.301292264117543,10956.0,342.0,224.0,36.0
24,,,,Taiwan*,2021-06-08 04:22:35,23.7,121.0,11491,286,1133.0,10072.0,Taiwan*,48.2475062219801,2.488904359933861,11298.0,193.0,260.0,26.0
25,,,,Taiwan*,2021-06-09 04:23:31,23.7,121.0,11694,308,1133.0,10253.0,Taiwan*,49.09984664170528,2.633829314178211,11491.0,203.0,286.0,22.0
26,,,,Taiwan*,2021-06-10 04:23:17,23.7,121.0,11968,333,1133.0,10502.0,Taiwan*,50.25029627227028,2.7824197860962565,11694.0,274.0,308.0,25.0
27,,,,Taiwan*,2021-06-11 04:23:20,23.7,121.0,12222,361,1133.0,10728.0,Taiwan*,51.31677147724661,2.953690067092129,11968.0,254.0,333.0,28.0
28,,,,Taiwan*,2021-06-12 04:22:22,23.7,121.0,12500,385,1133.0,10982.0,Taiwan*,52.48401599292935,3.08,12222.0,278.0,361.0,24.0
